frame,TP,FP,FN,precision,recall,mota
492,2,0,1,1.0,0.6666666666666666,0.6666666666666667
493,2,0,1,1.0,0.6666666666666666,0.6666666666666667
494,2,0,1,1.0,0.6666666666666666,0.6666666666666667
495,2,0,0,1.0,1.0,1.0
496,2,0,0,1.0,1.0,1.0
497,2,0,0,1.0,1.0,1.0
498,2,0,0,1.0,1.0,1.0
499,2,0,0,1.0,1.0,1.0
500,2,0,0,1.0,1.0,1.0
501,2,0,0,1.0,1.0,1.0
502,2,0,0,1.0,1.0,1.0
503,2,0,0,1.0,1.0,1.0
504,2,0,0,1.0,1.0,1.0
505,2,0,0,1.0,1.0,1.0
506,2,0,0,1.0,1.0,1.0
507,2,0,0,1.0,1.0,1.0
508,2,0,0,1.0,1.0,1.0
509,2,0,0,1.0,1.0,1.0
510,2,0,0,1.0,1.0,1.0
511,2,0,0,1.0,1.0,1.0
512,2,0,0,1.0,1.0,1.0
513,2,0,0,1.0,1.0,1.0
514,2,0,0,1.0,1.0,1.0
515,2,0,0,1.0,1.0,1.0
516,2,0,0,1.0,1.0,1.0
517,2,0,0,1.0,1.0,1.0
518,2,0,0,1.0,1.0,1.0
519,2,0,0,1.0,1.0,1.0
520,2,0,0,1.0,1.0,1.0
521,2,0,0,1.0,1.0,1.0
522,2,0,0,1.0,1.0,1.0
523,2,0,0,1.0,1.0,1.0
524,2,0,0,1.0,1.0,1.0
525,2,0,0,1.0,1.0,1.0
526,2,0,0,1.0,1.0,1.0
527,2,0,0,1.0,1.0,1.0
528,2,0,0,1.0,1.0,1.0
529,2,0,0,1.0,1.0,1.0
530,2,0,0,1.0,1.0,1.0
531,2,0,0,1.0,1.0,1.0
532,2,0,0,1.0,1.0,1.0
533,2,0,0,1.0,1.0,1.0
534,1,1,0,0.5,1.0,0.0
